coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Baron 1898,"1,644 ft",56 mph,Efteling,Operating,2015,Steel Dive Coaster,Bolliger & Mabillard,Dive Coaster,98 ft,2,Chain lift hill,â‚¬ 18 million[2],3 trains with 3 cars. Riders are arranged 6 across in a single row for a total of 18 riders per train.,,130 seconds[3],1000 riders per hour,,,87Â°,37.5Â m (123Â ft),90 km/h ,56 mph,90,km/h,55.9,98.4,m,98.4,2,
Diving Coaster,"3,189 ft",68 mph,Happy Valley Shanghai,Operating,2009,Steel Dive Coaster,Bolliger & Mabillard,Dive Coaster,213 ft,1,Chain lift hill,,3 cars. Riders are arranged 4 across in 3 rows for a total of 36 riders per train.,,2:20,,4,,90Â°,,110 km/h ,68 mph,110,km/h,68.4,213.3,m,213.3,1,4
Krake,"1,562 ft",64 mph,Heide Park Resort,Operating,2011,Steel Dive Coaster,Bolliger & Mabillard,Dive Coaster,135 ft,1,Chain lift hill,"â‚¬12,000,000",3 trains with a single car. Riders are arranged 6 across in 3 rows for a total of 18 riders per train.,,Under two minutes,,,,87Â°,,103 km/h ,64 mph,103,km/h,134.5,41,m,134.5,1,
Oblivion (roller coaster),"1,224 ft",68 mph,Alton Towers,Operating,1998,Steel Dive Coaster,Bolliger & Mabillard,Dive Coaster,65 ft,0,Chain lift hill,Â£12 million,7 trains with 2 cars. Riders are arranged 8 across in a single row for a total of 16 riders per train.,X-Sector,1:15,"1,900 riders per hour",4.5,Werner Stengel,87.5Â°,54.8Â m (180Â ft),110 km/h ,68 mph,110,km/h,65,65,m,65,0,4.5
Yukon Striker,"3,625 ft",81 mph,Canada's Wonderland,Operating,2019,Steel Dive Coaster,Bolliger & Mabillard,Dive Coaster,223 ft,4,Chain lift hill,,3 trains with 3 cars. Riders are arranged 8 across in a single row for a total of 24 riders per train.,Frontier Canada,3:25,"1,329 riders per hour",,,90Â°,74.7Â m (245Â ft),130 km/h ,81 mph,130,km/h,223.1,223.1,m,223.1,4,
Python (Efteling),"2,460 ft",47 mph,Efteling,Operating,1981,Steel,Vekoma,Double Loop Corkscrew,95 ft,4,Chain lift,"â‚¬ 9,4 million",2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Ruigrijk,2:08,1400 riders per hour,3.5,Vekoma,,22Â m (72Â ft),75 km/h ,47 mph,75,km/h,95.1,95.1,m,95.1,4,3.5
Green Lantern Coaster,"1,601 ft",41 mph,Warner Bros. Movie World,Operating,2011,Steel,S&S Sansei Technologies,El Loco,108 ft,2,Chain lift hill,,7 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,67 seconds[3],,3.5,,120.5[4]Â°,,66 km/h ,41 mph,66,km/h,108.3,108.3,m,108.3,2,3.5
Timber Drop,,41 mph,Fraispertuis City,Operating,2011,Steel,S&S Sansei Technologies,El Loco,96 ft,2,,"â‚¬3,000,000",,,1:20,,,,113.1Â°,,66 km/h ,41 mph,66,km/h,96,96,m,96,2,
Polar X-plorer,,40 mph,Legoland Billund,Operating,2012,Steel,Zierer,Elevated Seating Coaster,66 ft,0,Chain lift hill,,,,,,,,,,65 km/h ,40 mph,65,km/h,65.6,65.6,m,65.6,0,
Abyss (roller coaster),"2,070 ft",53 mph,Adventure World,Operating,2013,Steel Euro-Fighter,Gerstlauer,Euro-Fighter (Custom),98 ft,3,Chain lift hill,A$12 million,4 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,2 minutes,,4.5,,100Â°,30.5Â m (100Â ft),85 km/h ,53 mph,85,km/h,98.4,98.4,m,98.4,3,4.5
Accelerator (roller coaster),590 ft,37 mph,Drayton Manor,Operating,2011,Steel Junior Boomerang,Vekoma,Family Boomerang,66 ft,0,Booster Wheel Lift Hill,"Â£2,100,000",,Aerial Park,,750 riders per hour,3,Meticulous ltd,,,60 km/h ,37 mph,60,km/h,65.6,65.6,m,65.6,0,3
Dragon Express,260 ft,,Adventure World,Operating,2003,Steel Family,Zamperla,Family Gravity Coaster 80STD,13 ft,0,,,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,,,,,,,,,,,,,13.1,m,13.1,0,
Mick Doohan's Motocoaster,"1,985 ft",45 mph,Dreamworld,Operating,2007,Steel Launched Motorbike,Intamin,Family MotorBike Launch Coaster,23 ft,,Tire Propelled Launch,"A$10,000,000[1]",2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Main Street,55 sec[1],746[1] riders per hour,,,,,72 km/h ,45 mph,72,km/h,44.7,23,m,23,0,
DÃ¦monen,"1,850 ft",48 mph,Tivoli Gardens,Operating,2004,Steel Floorless Coaster,Bolliger & Mabillard,Floorless Coaster,92 ft,3,Chain lift hill,75 million DKK (â‚¬10 M),2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,,1:46,"1,200 riders per hour",4,,,20Â m (66Â ft),77 km/h ,48 mph,77,km/h,47.8,91.9,m,91.9,3,4
Galactica (roller coaster),"2,760 ft",47 mph,Alton Towers,Operating,2002,Steel Flying,Bolliger & Mabillard,Flying Coaster,66 ft,2,Chain lift hill,Â£12 million,3 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Forbidden Valley,1:40,"1,500 riders per hour",3.5,John Wardley,,,75 km/h ,47 mph,75,km/h,46.6,65.6,m,65.6,2,3.5
Hundeprutterutchebane,420 ft,19 mph,BonBon-Land,Operating,1993,Steel Family,Zierer,Force - One,15 ft,0,,,,,,650 riders per hour,,,,,30 km/h ,19 mph,30,km/h,18.6,14.8,m,14.8,0,
Linnunrata,980 ft,25 mph,Linnamonaki,Operating,2000,Steel Enclosed,Zierer,Force Custom,23 ft,0,,,,,1:00,800 riders per hour,,Werner Stengel,,,40 km/h ,25 mph,40,km/h,24.9,23,m,23,0,
RC Racer,269 ft,,Hong Kong Disneyland,Operating,2011,Steel Shuttle Launched,Intamin,Half Pipe Coaster,82 ft,0,LSM,,Single train with a single car. Riders are arranged 4 across in 5 rows for a total of 20 riders per train.,,,,,Walt Disney Imagineering,,,,,,,,82,m,82,0,
RC Racer,269 ft,,Shanghai Disneyland,Operating,2018,Steel Shuttle Launched,Intamin,Half Pipe Coaster,82 ft,0,LSM,,Single train with a single car. Riders are arranged 4 across in 5 rows for a total of 20 riders per train.,,,,,Walt Disney Imagineering,,,,,,,,82,m,82,0,
RC Racer,269 ft,,Walt Disney Studios Park - Disneyland,Operating,2010,Steel Shuttle Launched,Intamin,Half Pipe Coaster,82 ft,0,LSM,,Single train with a single car. Riders are arranged 4 across in 5 rows for a total of 20 riders per train.,,,,,Walt Disney Imagineering,,,,,,,,82,m,82,0,
Surfrider,230 ft,,Wet'n'Wild Gold Coast,Operating,2007,Steel Shuttle Launched,Intamin,Half Pipe Roller Coaster,98 ft,0,LSM,,Single train with a single car. Riders are arranged 6 across in 2 rows for a total of 12 riders per train.,,1 minute,460 riders per hour,,Ing.-BÃ¼ro Stengel GmbH,90Â°,25Â m (82Â ft),,,,,,98.4,m,98.4,0,
DC Rivals HyperCoaster,"4,593.2 ft",71.5 mph,Warner Bros. Movie World,Operating,2017,Steel,Mack Rides,Hyper Coaster,202 ft,0,Chain,AU$30 million($30Â million in 2018 dollars[1]),2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,960 riders per hour,4.3,,,59.4Â m (195Â ft),115.1 km/h ,71.5 mph,115.1,km/h,71.5,202.1,m,202.1,0,4.3
Hollywood Dream The Ride,"3,900 ft",56 mph,Universal Studios Japan,Operating,2007,Steel,Bolliger & Mabillard,Hyper Coaster,144 ft,0,Chain lift hill,$50 million[1],5 trains with 9 cars. Riders are arranged 4 across in a single row for a total of 36 riders per train.,Hollywood,2:31,,,Universal Creative,50Â°,43Â m (141Â ft),90 km/h ,56 mph,90,km/h,55.9,144.4,m,144.4,0,
Leviathan (Canada's Wonderland),"5,486 ft",92 mph,Canada's Wonderland,Operating,2012,Steel,Bolliger & Mabillard,Hyper Coaster,306 ft,0,Chain lift hill,"US$28,000,000",,Medieval Faire,3:28,1650 riders per hour,4.5,Werner Stengel[3],80Â°,93.3Â m (306Â ft),148 km/h ,92 mph,148,km/h,92,306.1,m,306.1,0,4.5
Shambhala (roller coaster),"5,131 ft",83 mph,PortAventura Park,Operating,2012,Other,Bolliger & Mabillard,Hyper Coaster,249 ft,0,Chain lift hill,,3 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,China,3:00,"1,680 riders per hour",3.8,,77.4Â°,78Â m (256Â ft),134 km/h ,83 mph,134,km/h,83.3,249.3,m,249.3,0,3.8
Behemoth (roller coaster),"15,318 ft",77 mph,Canada's Wonderland,Operating,2008,Steel,Bolliger & Mabillard,Hyper Coaster,230 ft,0,Chain lift,C$26 million est.,3 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,Action Zone,3:10,1545 riders per hour,4.5,,75Â°,69Â m (226Â ft),124 km/h ,77 mph,124,km/h,77.1,229.7,m,229.7,0,4.5
Silver Star (roller coaster),"5,310 ft",79 mph,Europa-Park,Operating,2002,Steel,Bolliger & Mabillard,Hyper Coaster,240 ft,0,Chain lift hill,,,France,,"1,750 riders per hour",4,,68.5Â°,67Â m (220Â ft),127 km/h ,79 mph,127,km/h,78.9,239.5,m,239.5,0,4
The Oath of Kärnan,"4,052 ft",79 mph,Hansa-Park,Operating,2015,Steel,Gerstlauer,Hyper Coaster,240 ft,1,Chain lift hill,~ 26.000.000 â‚¬,3 trains with a single car. Riders are arranged 4 across in 4 rows for a total of 16 riders per train.,,3:37 minutes,~ 200 riders per hour,5,Werner Stengel,90Â°,67Â m (220Â ft),127 km/h ,79 mph,127,km/h,78.9,239.5,m,239.5,1,5
Hakugei (roller coaster),"5,020 ft",66 mph,Nagashima Spa Land,Operating,2019,Steel,Rocky Mountain Construction,I-Box,180 ft,3,Chain lift hill,"Â¥2,800,000,000",3 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,,4,,80Â°,,107 km/h ,66 mph,107,km/h,66.5,180.4,m,180.4,3,4
Vekoma Illusion,"2,510 ft",31 mph,Bobbejaanland,Operating,1989,Steel Indoor,Vekoma,Illusion,92 ft,0,,,Single train with 30 cars. Riders are arranged 2 across in a single row for a total of 60 riders per train.,,140 seconds,1200 riders per hour,,,,,50 km/h ,31 mph,50,km/h,31.1,91.9,m,91.9,0,
Fury (roller coaster),"2,000 ft",66.2 mph,Bobbejaanland,Operating,2019,Steel Launched,Gerstlauer,Infinity Coaster,43 ft ,2,LSM launch,,2 trains with a single car. Riders are arranged 4 across in 3 rows for a total of 12 riders per train.,,,,,,90Â°,41.9Â m (137Â ft),106.6 km/h ,66.2 mph,106.6,km/h,66.2,141.1,m,141.1,2,
Karacho,"2,300 ft",56 mph,Erlebnispark Tripsdrill,Operating,2013,Steel Launched,Gerstlauer,Infinity Coaster,98 ft,4,Linear synchronous motor launch,"â‚¬7,000,000",,,,960 riders per hour,,Imaginvest,,,90 km/h ,56 mph,90,km/h,55.9,98.4,m,98.4,4,
Pitts Special (roller coaster),"2,274 ft",62 mph,PowerPark,Operating,2020,Steel,Gerstlauer,Infinity Coaster,143 ft,,Vertical chain lift hill,,Single train with 2 cars. Riders are arranged 4 across in a single row for a total of 8 riders per train.,,,,4.5,,85Â°,,100 km/h ,62 mph,100,km/h,62.1,142.7,m,142.7,0,4.5
The Monster (Adventureland),"2,500 ft",65 mph,Adventureland (Iowa),Operating,2016,Steel,Gerstlauer,Infinity Coaster,133 ft,5,Vertical Chain Lift Hill,$9 million,,,2 minutes,3 cars - 8 riders each - 720 riders per hour,,,101Â°,,105 km/h ,65 mph,105,km/h,65.2,133.2,m,133.2,5,
Pyrenees (roller coaster),"4,049 ft",62 mph,Parque Espana-Shima Spain Village,Operating,1997,Steel Inverted,Bolliger & Mabillard,Inverted Coaster,148 ft),6,,,8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:53,,,Werner Stengel,,,100 km/h ,62 mph,100,km/h,62.1,147.6,m,147.6,6,
Nemesis (roller coaster),"2,349 ft",50 mph,Alton Towers,Operating,1994,Steel Inverted,Bolliger & Mabillard,Inverted Coaster - Custom,42.7 ft,4,Chain lift hill,Â£10 million,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Forbidden Valley,1:20,1200 riders per hour,3.5[2],Werner Stengel,,31.7Â m (104Â ft),81 km/h ,50 mph,81,km/h,50.3,42.7,m,42.7,4,3.5
Nemesis Inferno,"2,460 ft",50 mph,Thorpe Park Resort,Operating,2003,Steel Inverted,Bolliger & Mabillard,Inverted Coaster - Custom,95 ft,4,Chain lift hill,Â£8 million,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,The Jungle,1:43,"1,150 riders per hour",5,John Wardley & Werner Stengel & Jordan Forster,,28Â m (92Â ft),80 km/h ,50 mph,80,km/h,49.7,95.1,m,95.1,4,5
Backyardigans: Mission to Mars,679 ft,21.7 mph,Movie Park Germany,Operating,1996,Steel Junior,Vekoma,Junior Coaster,28 ft,0,,,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Nickland,0:44,780 riders per hour,,,,,34.9 km/h ,21.7 mph,34.9,km/h,21.7,27.9,m,27.9,0,
Road Runner Rollercoaster,"1,099 ft",28.5 mph,Warner Bros. Movie World,Operating,2000,Steel Junior,Vekoma,Junior Coaster,43 ft,0,,AU$9 million,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,1:06,1000 riders per hour,,,,,45.9 km/h ,28.5 mph,45.9,km/h,28.5,42.7,m,42.7,0,
Great Goofnini,679 ft,25 mph,Magic Kingdom - Walt Disney World,Operating,2012,Steel Junior,Vekoma,Junior Coaster (Custom),30 ft,0,Chain lift hill,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,FantasylandÂ - Storybook Circus,1:00,,,Walt Disney Imagineering,,,40.2 km/h ,25.0 mph,40.2,km/h,25,29.9,m,29.9,0,
Great Goofnini,679 ft,25 mph,Magic Kingdom - Walt Disney World,Operating,2012,Steel Junior,Vekoma,Junior Coaster (Custom),30 ft,0,Chain lift hill,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,FantasylandÂ - Storybook Circus,1:00,,,Walt Disney Imagineering,,,40.2 km/h ,25.0 mph,40.2,km/h,25,29.9,m,29.9,0,
Great Goofnini,679 ft,25 mph,Magic Kingdom - Walt Disney World,Operating,2012,Steel Junior,Vekoma,Junior Coaster (Custom),30 ft,0,Chain lift hill,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,FantasylandÂ - Storybook Circus,1:00,,,Walt Disney Imagineering,,,40.2 km/h ,25.0 mph,40.2,km/h,25,29.9,m,29.9,0,
Taron (roller coaster),"4,330 ft",73 mph,Phantasialand,Operating,2016,Steel,Intamin,LSM Blitz Coaster,98.4 ft,,LSM,,4 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Klugheim,,"1,200 riders per hour",,,,,117 km/h ,73 mph,117,km/h,72.7,98.4,m,98.4,0,
Hyperion (roller coaster),"4,760 ft",88 mph,Energylandia,Operating,2018,Steel,Intamin,Mega coaster,253 ft,1,Chain lift hill[2],,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Extreme Zone,,"1,300 riders per hour",4.8[2],,85Â°,82Â m (269Â ft),142 km/h ,88 mph,142,km/h,88.2,252.6,m,252.6,1,4.8
Thunder Dolphin,"3,497 ft",81 mph,Tokyo Dome City Attractions,Operating,2003,Steel,Intamin,Mega Coaster,260 ft,0,Cable lift hill,"$37,000,000 ",,LaQua,1:30,"1,660 riders per hour",4.4,Werner Stengel,80Â°,66Â m (217Â ft),130 km/h ,81 mph,130,km/h,80.8,262.5,m,262.5,0,4.4
Booster Bike,"1,949 ft",47 mph,Toverland,Operating,2004,Steel Motorbike Launched,Vekoma,Motorbike Coaster (600m),49 ft,0,,,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,1:08,,2.5,Vekoma,,,75 km/h ,47 mph,75,km/h,46.6,49.2,m,49.2,0,2.5
Max & Moritz (roller coaster),980 ft,22 mph,Efteling,Operating,2020,Steel Powered Dual-tracked,Mack Rides,Powered coaster,20 ft,0,Onboard motors,"â‚¬15,000,000",2 trains with 1 locomotive and 9 cars. Riders are arranged 2 across in 2 rows (1 for the locomotive) for a total of 38 riders per train.,Anderrijk,2:30,1800 riders per hour,,Robert-Jaap JansenKarel Willemen,,,36 km/h ,22 mph,36,km/h,22.4,19.7,m,19.7,0,
Pikajuna,961.3 ft,23 mph,Linnamonaki,Operating,1990,Steel,Mack Rides,Powered Coaster,23 ft,0,,,,,1:35,,,,,,37 km/h ,23 mph,37,km/h,23,23,m,23,0,
Pulsar (roller coaster),217 m,63 mph,Walibi Belgium,Operating,2016,Steel Launched Shuttle,Mack Rides,PowerSplash,148 ft),0,LSM launch,"â‚¬8,500,000",2 trains with a single car. Riders are arranged 4 across in 5 rows for a total of 20 riders per train.,,1:18,950 riders per hour,,,90Â°,,101 km/h ,63 mph,101,km/h,62.8,147.6,m,147.6,0,
Joris en de Draak,"2,657 ft",47 mph,Efteling,Operating,2010,Wood Racing,Great Coasters International,Racing,82 ft,,Chain,"â‚¬13,000,000",4 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,Ruigrijk,2:00,1750 riders per hour,,,,24Â m (79Â ft),75.0 km/h ,47 mph,75,km/h,46.6,82,m,82,0,
Spinball Whizzer,"1,540 ft",37 mph,Alton Towers,Operating,2004,Steel Spinning,Maurer AG,SC 2200[1],56 ft,0,Chain lift hill,"Â£3,500,000",,The Towers,1:15,950 riders per hour,,,,,60 km/h ,37 mph,60,km/h,37.3,55.8,m,55.8,0,
Galaxy Orbiter,"1,493 ft",25 mph,Galaxyland,Operating,2007,Steel Spinning,Gerstlauer,Sit down,148 ft),0,Chain lift hill,,5 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:17,500 riders per hour,3.26 G,IngenieurbÃ¼ro Stengel GmbH,,,40 km/h ,25 mph,40,km/h,24.9,147.6,m,147.6,0,3.26
Dragon Khan,"4,216 ft",65 mph,PortAventura Park,Operating,1995,Steel,Bolliger & Mabillard,Sit Down,148 ft),8,Chain lift hill,,,,1:45,,4,John Wardley (layout) Ing.-BÃ¼ro Stengel GmbH (mechanical role),,49.1Â m (161Â ft),104.6 km/h ,65.0 mph,104.6,km/h,65,148,m,148,8,4
Mindbender (Galaxyland),"4,198 ft",60 mph,Galaxyland,Operating,1985,Steel Twister,Anton Schwarzkopf,Sit Down,145 ft,3,Wheel lift lift hill,"$6,000,000 ",4 trains with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,1:13,430 riders per hour,5.2,Werner Stengel,,38.7Â m (127Â ft),96.5 km/h ,60.0 mph,96.5,km/h,60,145,m,145,3,5.2
Flight Deck (Canada's Wonderland),"2,260.5 ft",49.70 mph,Canada's Wonderland,Operating,1995,Steel Inverted,Vekoma,SLC (689m Standard),109.3 ft,5,Chain lift,,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Grande World Exposition of 1890,1:28,1040 riders per hour,,,,,79.99 km/h ,49.70 mph,79.99,km/h,49.7,109.3,m,109.3,5,
Frankie's Mine Train,"1,840 ft",49.2 mph,Energylandia,Operating,2016,Steel Launched,Vekoma,Space Warp Launch Coaster,81 ft,3,LSM,,2 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Extreme Zone,,,3.8,,,,79.2 km/h ,49.2 mph,79.2,km/h,49.2,81,m,81,3,3.8
Freestyle (roller coaster),"1,282.8 ft",51 mph,Cavallino Motto,Operating,2015,Steel Stand-up,TOGO,Stand-up Coaster,88 ft,1,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:32,,,,,25.6Â m (84Â ft),82 km/h ,51 mph,82,km/h,51,87.9,m,87.9,1,
Vortex (Canada's Wonderland),"2,361 ft",55 mph,Canada's Wonderland,Operating,1991,Steel Suspended,Arrow Dynamics,Suspended Coaster,91 ft,,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Frontier Canada,1:36,,,,,26Â m (85Â ft),55 mph ,89 km/h,55,mph,55,91.2,m,91.2,0,
Steel Lasso,961 ft,30.0 mph,Frontier City,Operating,2008,Steel Suspended Family Coaster,Chance Morgan,Suspended Family Coaster (293m),49 ft,0,,"$4,000,000 USD",,,43 Seconds,845 riders per hour,2.2,Vekoma,,,48.3 km/h ,30.0 mph,48.3,km/h,30,48.9,m,48.9,0,2.2
Jimmy Neutron's Atomic Flyer,"2,260 ft",,Movie Park Germany,Operating,2007,Steel Inverted Family,Vekoma,Suspended Family Coaster (294m),43 ft,0,,,,Nickland,,,,RCS GmbH,,,,,,,,42.7,m,42.7,0,
Bat (Lagoon),"1,122 ft",,Lagoon Amusement Park,Operating,2005,Steel Inverted,Vekoma,Suspended Family Coaster (342m),49 ft,0,,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,1:30 mins,650 riders per hour,2.2,,,,,,,,,48.6,m,48.6,0,2.2
Escape from Madagascar,"1,122 ft",26.0 mph,Dreamworld,Operating,2002,Steel Suspended Family Coaster,Vekoma,Suspended Family Coaster (342m),49 ft,0,Drive tire lift hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,DreamWorks ExperienceÂ - Madagascar Madness,1:30,650 riders per hour,2.2,,,,41.8 km/h ,26.0 mph,41.8,km/h,26,48.9,m,48.9,0,2.2
Rugrats Runaway Reptar (Dreamworld),"1,122 ft",26.0 mph,Dreamworld,Operating,2002,Steel Suspended Family Coaster,Vekoma,Suspended Family Coaster (342m),49 ft,0,Drive tire lift hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,DreamWorks ExperienceÂ - Madagascar Madness,1:30,650 riders per hour,2.2,,,,41.8 km/h ,26.0 mph,41.8,km/h,26,48.9,m,48.9,0,2.2
Kvasten,"1,296 ft",34 mph,Grona Lund,Operating,2007,Steel Family Inverted,Vekoma,Suspended Family Coaster (395m),64 ft,0,Drive tire,"USD 7,850,000",Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,1:03,758 riders per hour,2.5,,,,55 km/h ,34 mph,55,km/h,34.2,64.3,m,64.3,0,2.5
Condor (roller coaster),"2,172 ft",50 mph,Walibi Holland,Operating,1994,Steel Inverted,Vekoma,Suspended Looping Coaster,102 ft,5,Chain Lift Hill,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Exotic,2:02,900 riders per hour,4.5 G (Positive),,,,80 km/h ,50 mph,80,km/h,49.7,101.7,m,101.7,5,4.5
MP Xpress,"2,260 ft",50 mph,Movie Park Germany,Operating,2001,Steel Inverted,Vekoma,Suspended Looping Coaster (689m Standard),109 ft,5,,,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,The Old West,1:36,1040 riders per hour,,,,,80 km/h ,50 mph,80,km/h,49.7,109.3,m,109.3,5,
Wildfire (Kolmården Wildlife Park),"4,150 ft",71 mph,Kolmården Wildlife Park,Operating,2016,Wood,Rocky Mountain Construction,Topper Track - Custom,184 ft,3,Chain lift hill,"110 million SEK ($11,990,000 USD as of August 2018)",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,2:00,960 riders per hour,4 g,Alan Schilke,83Â°,49Â m (161Â ft),115 km/h ,71 mph,115,km/h,71.5,183.7,m,183.7,3,4
Storm Coaster,"1,540 ft",43 mph,SeaWorld Australia,Operating,2013,Steel,Mack Rides,Water Coaster,92 ft,0,Chain lift hill,AU$20 million,6 trains with a single car. Riders are arranged 2 across in 4 rows for a total of 8 riders per train.,,2 minutes[1],,3 Gs[2],,,,70 km/h ,43 mph,70,km/h,43.5,91.9,m,91.9,0,3
Atlantica SuperSplash,"1,280 ft",50 mph,Europa Park,Operating,2005,Other,Mack Rides,Water coasterSuperSplash,98 ft,,,â‚¬5 million,,Portugal,3:20,1400 riders per hour,4,,50Â°,30Â m (98Â ft),80 km/h ,50 mph,80,km/h,49.7,98.4,m,98.4,0,4
Ghost Chasers (roller coaster),"1,210 ft",28 mph,Movie Park Germany,Operating,2000,Steel Wild Mouse,Mack Rides,Wild Mouse (compact park),46 ft,0,,,,Nickland,1:50,1120 riders per hour,,,,,45 km/h ,28 mph,45,km/h,28,45.9,m,45.9,0,
Tiger Express (roller coaster),"1,210 ft",28 mph,La Mer de Sable,Operating,2011,Steel Wild Mouse,Mack Rides,Wild Mouse (compact park),46 ft,0,,,10 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:25,1120 riders per hour,,,,,45 km/h ,28 mph,45,km/h,28,45.9,m,45.9,0,
Lego Technic Test Track,"1,300 ft",35 mph,Legoland Billund,Operating,2002,Steel Wild Mouse,Mack Rides,Wild Mouse (large park),52 ft,0,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:35,,,,,15.2Â m (50Â ft),56.3 km/h ,35.0 mph,56.3,km/h,35,51.8,m,51.8,0,
Lego Technic Test Track,"1,300 ft",35 mph,Legoland California,Operating,2001,Steel Wild Mouse,Mack Rides,Wild Mouse (large park),52 ft,0,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:35,,,,,15.2Â m (50Â ft),56.3 km/h ,35.0 mph,56.3,km/h,35,51.8,m,51.8,0,
Lego Technic Test Track,"1,300 ft",35 mph,Legoland Deutschland,Operating,2002,Steel Wild Mouse,Mack Rides,Wild Mouse (large park),52 ft,0,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:35,,,,,15.2Â m (50Â ft),56.3 km/h ,35.0 mph,56.3,km/h,35,51.8,m,51.8,0,
Flug der Damonen,"2,533 ft",62 mph,Heide Park Resort,Operating,2014,Steel Wing Coaster,Bolliger & Mabillard,Wing Coaster,130 ft,5,Chain lift hill,"â‚¬15,000,000 ($USD19.9Â million)",2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Transsilvanien,0:52 minutes,1060 riders per hour,4,,,,100 km/h ,62 mph,100,km/h,62.1,131.2,m,131.2,5,4
Flying Aces (roller coaster),"4,921 ft",75 mph,Ferrari World Abu Dhabi,Operating,2016,Steel,Intamin,Wing Coaster,207 ft,1,Cable lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,,,"1,008 riders per hour",5,,,,120 km/h ,75 mph,120,km/h,74.6,206.7,m,206.7,1,5
Balder (roller coaster),"3,510 ft",56 mph,Liseberg,Operating,2003,Wood,Intamin,Wooden Coaster (Prefabricated Track),118 ft,0,1 chain lift hill,"100 million SEK (=approx. $12,6 million)",2 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,,2:08,"1,200 riders per hour",,IngenieurbÃ¼ro Stengel GmbH,70Â°,30.5Â m (100Â ft),90 km/h ,56 mph,90,km/h,55.9,118.1,m,118.1,0,
